Time-Stamp, Data-Prefix, Data-Size, Information loss, Age, Geschlecht, Inzidenzort, Geburtsdatum, Diagnose_ICD10_Code, Diagnosedatum, Average-Risk, Lowest-Risk, Highest-Risk, Avg EquivClassSize, Max EquivClassSize, NumOfEquivClasses, NumOfRecordsSuppressedRecords, NumOfSuppressedRecords, privacyModel1, privacyModel2
2023-11-21 15:47:14.319, zfkd_, 50000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 0.00186, 7.304601899196494E-4, 0.0625, 537, 1369, 93, 50000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:14.858, zfkd_, 75000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 0.00124, 4.833252779120348E-4, 0.043478260869565216, 806, 2069, 93, 75000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:15.017, zfkd_, 75000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 0.00124, 4.833252779120348E-4, 0.043478260869565216, 806, 2069, 93, 75000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:15.079, zfkd_, 75000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 0.00124, 4.833252779120348E-4, 0.043478260869565216, 806, 2069, 93, 75000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:15.186, zfkd_, 75000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 0.00124, 4.833252779120348E-4, 0.043478260869565216, 806, 2069, 93, 75000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:15.251, zfkd_, 75000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 0.00124, 4.833252779120348E-4, 0.043478260869565216, 806, 2069, 93, 75000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:16.29, zfkd_, 100000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 9.3E-4, 3.6859565057132326E-4, 0.027777777777777776, 1075, 2713, 93, 100000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:16.409, zfkd_, 100000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 9.3E-4, 3.6859565057132326E-4, 0.027777777777777776, 1075, 2713, 93, 100000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:16.482, zfkd_, 100000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 9.3E-4, 3.6859565057132326E-4, 0.027777777777777776, 1075, 2713, 93, 100000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:16.56, zfkd_, 100000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 9.3E-4, 3.6859565057132326E-4, 0.027777777777777776, 1075, 2713, 93, 100000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:16.659, zfkd_, 100000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 9.3E-4, 3.6859565057132326E-4, 0.027777777777777776, 1075, 2713, 93, 100000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:17.786, zfkd_, 200000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 4.65E-4, 1.802451333813987E-4, 0.015625, 2150, 5548, 93, 200000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:17.89, zfkd_, 200000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 4.65E-4, 1.802451333813987E-4, 0.015625, 2150, 5548, 93, 200000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:18.423, zfkd_, 200000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 4.65E-4, 1.802451333813987E-4, 0.015625, 2150, 5548, 93, 200000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:19.566, zfkd_, 200000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 4.65E-4, 1.802451333813987E-4, 0.015625, 2150, 5548, 93, 200000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:20.041, zfkd_, 200000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 4.65E-4, 1.802451333813987E-4, 0.015625, 2150, 5548, 93, 200000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
